function_id,memory_mb,cpu_cores,duration_ms
f1,256,0.15,12798
f1,256,0.2,9184
f1,256,0.25,5972
f1,320,0.15,12121
f1,320,0.2,8984
f1,320,0.25,7454
f1,320,0.3,6056
f1,384,0.15,12131
f1,384,0.2,9469
f1,384,0.25,5897
f1,384,0.3,5464
f1,384,0.35,4323
f1,448,0.15,12184
f1,448,0.2,8510
f1,448,0.25,6274
f1,448,0.3,4691
f1,448,0.35,4366
f1,448,0.4,4581
f1,512,0.15,12451
f1,512,0.2,8987
f1,512,0.25,6196
f1,512,0.3,5906
f1,512,0.35,4025
f1,512,0.4,3084
f1,512,0.45,3401
f1,512,0.5,4000
f1,576,0.15,8966
f1,576,0.2,9654
f1,576,0.25,5688
f1,576,0.3,5043
f1,576,0.35,3537
f1,576,0.4,3662
f1,576,0.45,3353
f1,576,0.5,2973
f1,576,0.55,3076
f1,640,0.2,7277
f1,640,0.25,6593
f1,640,0.3,5221
f1,640,0.35,4584
f1,640,0.4,3550
f1,640,0.45,3109
f1,640,0.5,3090
f1,640,0.55,3267
f1,640,0.6,3125
f1,704,0.2,7399
f1,704,0.25,6265
f1,704,0.3,4978
f1,704,0.35,4722
f1,704,0.4,4228
f1,704,0.45,3125
f1,704,0.5,3334
f1,704,0.55,3603
f1,704,0.6,3374
f1,704,0.65,3184
f1,768,0.2,7262
f1,768,0.25,6899
f1,768,0.3,4895
f1,768,0.35,4445
f1,768,0.4,3244
f1,768,0.45,3289
f1,768,0.5,3588
f1,768,0.55,3275
f1,768,0.6,2980
f1,768,0.65,3087
f1,768,0.7,3440
f1,768,0.75,3278
f1,832,0.25,6408
f1,832,0.3,4152
f1,832,0.35,4745
f1,832,0.4,3664
f1,832,0.45,3749
f1,832,0.5,3548
f1,832,0.55,3499
f1,832,0.6,3275
f1,832,0.65,3783
f1,832,0.7,3205
f1,832,0.75,3353
f1,832,0.8,3722
f1,896,0.25,6290
f1,896,0.3,5209
f1,896,0.35,3850
f1,896,0.4,3618
f1,896,0.45,4241
f1,896,0.5,3002
f1,896,0.55,3295
f1,896,0.6,3102
f1,896,0.65,3330
f1,896,0.7,3294
f1,896,0.75,3071
f1,896,0.8,3393
f1,896,0.85,3456
f1,960,0.25,5869
f1,960,0.3,4463
f1,960,0.35,4735
f1,960,0.4,3502
f1,960,0.45,3454
f1,960,0.5,3095
f1,960,0.55,3263
f1,960,0.6,2894
f1,960,0.65,2902
f1,960,0.7,2876
f1,960,0.75,3181
f1,960,0.8,3489
f1,960,0.85,3254
f1,960,0.9,2977
f1,1024,0.25,6888
f1,1024,0.3,5078
f1,1024,0.35,4255
f1,1024,0.4,3271
f1,1024,0.45,3256
f1,1024,0.5,3393
f1,1024,0.55,3605
f1,1024,0.6,3236
f1,1024,0.65,3131
f1,1024,0.7,3309
f1,1024,0.75,2920
f1,1024,0.8,3083
f1,1024,0.85,3820
f1,1024,0.9,3119
f1,1024,0.95,3628
f1,1024,1.0,3375
f1,1088,0.3,4445
f1,1088,0.35,2992
f1,1088,0.4,2484
f1,1088,0.45,3647
f1,1088,0.5,3545
f1,1088,0.55,3279
f1,1088,0.6,2953
f1,1088,0.65,2783
f1,1088,0.7,2970
f1,1088,0.75,3665
f1,1088,0.8,2903
f1,1088,0.85,2873
f1,1088,0.9,3643
f1,1088,0.95,2780
f1,1088,1.0,2928
f1,1088,1.05,2840
f1,1152,0.3,4488
f1,1152,0.35,3465
f1,1152,0.4,2537
f1,1152,0.45,3177
f1,1152,0.5,2985
f1,1152,0.55,2863
f1,1152,0.6,2930
f1,1152,0.65,2647
f1,1152,0.7,2804
f1,1152,0.75,3052
f1,1152,0.8,2909
f1,1152,0.85,2845
f1,1152,0.9,3647
f1,1152,0.95,2895
f1,1152,1.0,2986
f1,1152,1.05,3001
f1,1152,1.1,2545
f1,1216,0.3,4148
f1,1216,0.35,3128
f1,1216,0.4,2880
f1,1216,0.45,2933
f1,1216,0.5,2765
f1,1216,0.55,3174
f1,1216,0.6,2945
f1,1216,0.65,3548
f1,1216,0.7,3071
f1,1216,0.75,2956
f1,1216,0.8,3006
f1,1216,0.85,3210
f1,1216,0.9,3067
f1,1216,0.95,2791
f1,1216,1.0,3313
f1,1216,1.05,3528
f1,1216,1.1,2744
f1,1216,1.15,2853
f1,1280,0.35,3372
f1,1280,0.4,2861
f1,1280,0.45,3018
f1,1280,0.5,3149
f1,1280,0.55,2655
f1,1280,0.6,2731
f1,1280,0.65,2970
f1,1280,0.7,2657
f1,1280,0.75,2796
f1,1280,0.8,2672
f1,1280,0.85,3387
f1,1280,0.9,3259
f1,1280,0.95,2837
f1,1280,1.0,2978
f1,1280,1.05,2706
f1,1280,1.1,2900
f1,1280,1.15,3058
f1,1280,1.2,2804
f1,1280,1.25,2782
f1,1344,0.35,3414
f1,1344,0.4,3213
f1,1344,0.45,3045
f1,1344,0.5,2942
f1,1344,0.55,2896
f1,1344,0.6,2905
f1,1344,0.65,2990
f1,1344,0.7,2696
f1,1344,0.75,3053
f1,1344,0.8,2950
f1,1344,0.85,2878
f1,1344,0.9,2921
f1,1344,0.95,2923
f1,1344,1.0,2801
f1,1344,1.05,3092
f1,1344,1.1,3008
f1,1344,1.15,3524
f1,1344,1.2,2692
f1,1344,1.25,2668
f1,1344,1.3,2583
f1,1408,0.35,3042
f1,1408,0.4,2966
f1,1408,0.45,3444
f1,1408,0.5,3057
f1,1408,0.55,2912
f1,1408,0.6,3269
f1,1408,0.65,2944
f1,1408,0.7,3054
f1,1408,0.75,2858
f1,1408,0.8,2608
f1,1408,0.85,2819
f1,1408,0.9,3112
f1,1408,0.95,3114
f1,1408,1.0,2761
f1,1408,1.05,3023
f1,1408,1.1,3003
f1,1408,1.15,3096
f1,1408,1.2,2892
f1,1408,1.25,2580
f1,1408,1.3,2840
f1,1408,1.35,2571
f1,1472,0.4,3105
f1,1472,0.45,2834
f1,1472,0.5,3017
f1,1472,0.55,2887
f1,1472,0.6,3180
f1,1472,0.65,2707
f1,1472,0.7,2777
f1,1472,0.75,2977
f1,1472,0.8,2989
f1,1472,0.85,3506
f1,1472,0.9,2825
f1,1472,0.95,2820
f1,1472,1.0,3232
f1,1472,1.05,3260
f1,1472,1.1,3126
f1,1472,1.15,3382
f1,1472,1.2,2905
f1,1472,1.25,2874
f1,1472,1.3,2840
f1,1472,1.35,2760
f1,1472,1.4,2731
f1,1536,0.4,3300
f1,1536,0.45,2855
f1,1536,0.5,3312
f1,1536,0.55,2905
f1,1536,0.6,2942
f1,1536,0.65,2860
f1,1536,0.7,2657
f1,1536,0.75,2714
f1,1536,0.8,2696
f1,1536,0.85,2875
f1,1536,0.9,2940
f1,1536,0.95,3099
f1,1536,1.0,2387
f1,1536,1.05,3082
f1,1536,1.1,2817
f1,1536,1.15,2865
f1,1536,1.2,3238
f1,1536,1.25,3039
f1,1536,1.3,3251
f1,1536,1.35,2810
f1,1536,1.4,2615
f1,1536,1.45,2702
f1,1536,1.5,3030
f1,1600,0.4,3175
f1,1600,0.45,2897
f1,1600,0.5,2590
f1,1600,0.55,2756
f1,1600,0.6,3441
f1,1600,0.65,3201
f1,1600,0.7,2906
f1,1600,0.75,2750
f1,1600,0.8,3392
f1,1600,0.85,2960
f1,1600,0.9,2759
f1,1600,0.95,2731
f1,1600,1.0,2677
f1,1600,1.05,2797
f1,1600,1.1,2977
f1,1600,1.15,2822
f1,1600,1.2,3503
f1,1600,1.25,2747
f1,1600,1.3,2874
f1,1600,1.35,2762
f1,1600,1.4,2766
f1,1600,1.45,3121
f1,1600,1.5,2969
f1,1600,1.55,2918
f1,1664,0.45,2716
f1,1664,0.5,3336
f1,1664,0.55,2843
f1,1664,0.6,3367
f1,1664,0.65,3140
f1,1664,0.7,2991
f1,1664,0.75,2776
f1,1664,0.8,2907
f1,1664,0.85,3120
f1,1664,0.9,3252
f1,1664,0.95,2828
f1,1664,1.0,2802
f1,1664,1.05,2824
f1,1664,1.1,3118
f1,1664,1.15,3034
f1,1664,1.2,3292
f1,1664,1.25,2701
f1,1664,1.3,2880
f1,1664,1.35,2898
f1,1664,1.4,2988
f1,1664,1.45,2768
f1,1664,1.5,2808
f1,1664,1.55,2776
f1,1664,1.6,2824
f1,1728,0.45,2843
f1,1728,0.5,3460
f1,1728,0.55,2688
f1,1728,0.6,2825
f1,1728,0.65,2952
f1,1728,0.7,3030
f1,1728,0.75,2804
f1,1728,0.8,2928
f1,1728,0.85,3364
f1,1728,0.9,3034
f1,1728,0.95,2947
f1,1728,1.0,2856
f1,1728,1.05,2989
f1,1728,1.1,2770
f1,1728,1.15,2708
f1,1728,1.2,2971
f1,1728,1.25,2880
f1,1728,1.3,2924
f1,1728,1.35,2884
f1,1728,1.4,2736
f1,1728,1.45,2811
f1,1728,1.5,3342
f1,1728,1.55,3244
f1,1728,1.6,2496
f1,1728,1.65,3559
f1,1792,0.45,2735
f1,1792,0.5,3317
f1,1792,0.55,2943
f1,1792,0.6,2662
f1,1792,0.65,2888
f1,1792,0.7,3444
f1,1792,0.75,2877
f1,1792,0.8,2859
f1,1792,0.85,3301
f1,1792,0.9,3266
f1,1792,0.95,3023
f1,1792,1.0,3531
f1,1792,1.05,2819
f1,1792,1.1,3522
f1,1792,1.15,3084
f1,1792,1.2,2979
f1,1792,1.25,2785
f1,1792,1.3,3525
f1,1792,1.35,3121
f1,1792,1.4,2722
f1,1792,1.45,2979
f1,1792,1.5,3566
f1,1792,1.55,3020
f1,1792,1.6,2948
f1,1792,1.65,2861
f1,1792,1.7,2866
f1,1792,1.75,3296
f1,1856,0.5,3149
f1,1856,0.55,2990
f1,1856,0.6,2924
f1,1856,0.65,2917
f1,1856,0.7,2852
f1,1856,0.75,2653
f1,1856,0.8,2673
f1,1856,0.85,3145
f1,1856,0.9,2881
f1,1856,0.95,2970
f1,1856,1.0,3574
f1,1856,1.05,2960
f1,1856,1.1,3289
f1,1856,1.15,2862
f1,1856,1.2,2850
f1,1856,1.25,3047
f1,1856,1.3,2862
f1,1856,1.35,3323
f1,1856,1.4,2912
f1,1856,1.45,2910
f1,1856,1.5,2826
f1,1856,1.55,3175
f1,1856,1.6,3007
f1,1856,1.65,3033
f1,1856,1.7,2998
f1,1856,1.75,2997
f1,1856,1.8,2998
f1,1920,0.5,3187
f1,1920,0.55,3119
f1,1920,0.6,2977
f1,1920,0.65,3638
f1,1920,0.7,3076
f1,1920,0.75,3047
f1,1920,0.8,2855
f1,1920,0.85,2819
f1,1920,0.9,3425
f1,1920,0.95,2963
f1,1920,1.0,2968
f1,1920,1.05,3542
f1,1920,1.1,2784
f1,1920,1.15,3539
f1,1920,1.2,3240
f1,1920,1.25,2907
f1,1920,1.3,2801
f1,1920,1.35,2846
f1,1920,1.4,3047
f1,1920,1.45,2866
f1,1920,1.5,2976
f1,1920,1.55,2831
f1,1920,1.6,2486
f1,1920,1.65,2972
f1,1920,1.7,2882
f1,1920,1.75,2852
f1,1920,1.8,2863
f1,1920,1.85,3468
f1,1984,0.5,3333
f1,1984,0.55,2665
f1,1984,0.6,3173
f1,1984,0.65,3094
f1,1984,0.7,2882
f1,1984,0.75,2885
f1,1984,0.8,3133
f1,1984,0.85,2961
f1,1984,0.9,3512
f1,1984,0.95,3003
f1,1984,1.0,2957
f1,1984,1.05,2950
f1,1984,1.1,3005
f1,1984,1.15,3719
f1,1984,1.2,2889
f1,1984,1.25,3392
f1,1984,1.3,3463
f1,1984,1.35,3815
f1,1984,1.4,2924
f1,1984,1.45,3179
f1,1984,1.5,2914
f1,1984,1.55,3816
f1,1984,1.6,3100
f1,1984,1.65,3005
f1,1984,1.7,2845
f1,1984,1.75,3262
f1,1984,1.8,2769
f1,1984,1.85,2801
f1,1984,1.9,2790
f1,2048,0.5,2879
f1,2048,0.6,2952
f1,2048,0.7,2808
f1,2048,0.8,2855
f1,2048,0.9,3279
f1,2048,1.0,2996
f1,2048,1.1,2818
f1,2048,1.2,2713
f1,2048,1.3,3087
f1,2048,1.4,3446
f1,2048,1.5,2829
f1,2048,1.6,2802
f1,2048,1.7,2741
f1,2048,1.8,2874
f1,2048,1.9,2859
f1,2048,2.0,2840
f1,2112,0.6,3455
f1,2112,0.7,2671
f1,2112,0.8,3001
f1,2112,0.9,3397
f1,2112,1.0,3295
f1,2112,1.1,3421
f1,2112,1.2,2783
f1,2112,1.3,2841
f1,2112,1.4,2824
f1,2112,1.5,2911
f1,2112,1.6,2896
f1,2112,1.7,2779
f1,2112,1.8,2779
f1,2112,1.9,2715
f1,2112,2.0,3429
f1,2176,0.6,2959
f1,2176,0.7,2779
f1,2176,0.8,2960
f1,2176,0.9,2875
f1,2176,1.0,2932
f1,2176,1.1,2828
f1,2176,1.2,2822
f1,2176,1.3,3054
f1,2176,1.4,2975
f1,2176,1.5,2819
f1,2176,1.6,2923
f1,2176,1.7,3116
f1,2176,1.8,2903
f1,2176,1.9,2884
f1,2176,2.0,3055
f1,2176,2.1,2737
f1,2240,0.6,2662
f1,2240,0.7,2840
f1,2240,0.8,2823
f1,2240,0.9,2886
f1,2240,1.0,2981
f1,2240,1.1,2838
f1,2240,1.2,2948
f1,2240,1.3,2830
f1,2240,1.4,3159
f1,2240,1.5,2627
f1,2240,1.6,2800
f1,2240,1.7,2954
f1,2240,1.8,2949
f1,2240,1.9,3087
f1,2240,2.0,2787
f1,2240,2.1,2904
f1,2304,0.6,3290
f1,2304,0.7,2939
f1,2304,0.8,2753
f1,2304,0.9,2972
f1,2304,1.0,2788
f1,2304,1.1,2856
f1,2304,1.2,2652
f1,2304,1.3,2887
f1,2304,1.4,2976
f1,2304,1.5,3622
f1,2304,1.6,2878
f1,2304,1.7,2806
f1,2304,1.8,2944
f1,2304,1.9,2907
f1,2304,2.0,3008
